Country: Algeria,City: Algiers
Country: Angola,City: Luanda
Country: Togo,City: Lome
Country: Tunisia,City: Tunis
Country: Uganda,City: Kampala
Country: Zambia,City: Lusaka
Country: Zimbabwe,City: Harare
Country: Burkina,City: Ouagadougou
Country: Burundi,City: Bujumbura
Country: Cameroon,City: Yaoundé
Country: Comoros,City: Moroni
Country: Djibouti,City: Djibouti
Country: Egypt,City: Cairo
Country: Botswana,City: Gaborone
Country: Brazil,City: Brasilia
Country: Bulgaria,City: Sofia
Country: Afghanistan,City: Kabul
Country: Albania,City: Tirana
Country: Armenia,City: Yerevan
Country: Australia,City: Canberra
Country: Austria,City: Vienna
Country: Azerbaijan,City: Baku
Country: Bahrain,City: Manama
Country: Bangladesh,City: Dhaka
Country: Barbados,City: Bridgetown
Country: Belarus,City: Minsk
Country: Belgium,City: Brussels
Country: Belize,City: Belmopan
Country: Bhutan,City: Thimphu
Country: Botswana,City: Gaborone
Country: Brazil,City: Brasilia
Country: Bulgaria,City: Sofia
Country: Canada,City: Ottawa
Country: Chile,City: Santiago
Country: Comoros,City: Moroni
Country: Congo,City: Kinshasa
Country: Croatia,City: Zagreb
Country: Cuba,City: Havana
Country: Cyprus,City: Nicosia
Country: Denmark,City: Copenhagen
Country: Djibouti,City: Djibouti
Country: Dominica,City: Roseau
Country: Ecuador,City: Quito
Country: Egypt,City: Cairo
Country: Eritrea,City: Asmara
Country: Estonia,City: Tallinn
Country: Fiji,City: Suva
Country: FinCountry,City: Helsinki
Country: France,City: Paris
Country: Gabon,City: Libreville
Country: Gambia,City: Banjul
Country: Georgia,City: Tbilisi
Country: Ghana,City: Accra
Country: Greece,City: Athens
Country: Guinea,City: Conakry
Country: Guyana,City: Georgetown
Country: Honduras,City: Tegucigalpa
Country: Hungary,City: Budapest
Country: IceCountry,City: Reykjavik
Country: Indonesia,City: Jakarta
Country: Iran,City: Tehran
Country: IreCountry,City: Dublin
Country: Italy,City: Rome
Country: Jamaica,City: Kingston
Country: Netherlands,City:	Amsterdam
Country: Norway,City: Oslo
Country: Pakistan,City: Islamabad
Country: Palau,City: Koror
Country: Peru,City: Lima
Country: Philippines,City: Manila
Country: PoCountry,City: Warsaw
Country: Qatar,City: Doha
Country: Romania,City: Bucharest
Country: Russia,City: Moscow
Country: Rwanda,City: Kigali
Country: Samoa,City: Apia
Country: Senegal,City: Dakar
Country: Serbia,City: Belgrade
Country: Seychelles,City: Victoria
Country: Slovakia,City: Bratislava
Country: Slovenia,City: Ljubljana
Country: Somalia,City: Mogadishu
Country: Spain,City: Madrid
Country: Sudan,City: Khartoum
Country: Suriname,City: Paramaribo
Country: SwaziCountry,City: Mbabane
Country: Sweden,City: Stockholm
Country: Syria,City: Damascus
Country: Tajikistan,City: Dushanbe
Country: ThaiCountry,City: Bangkok
Country: Togo,City: Lome
Country: Tunisia,City: Tunis
Country: Turkey,City: Ankara
Country: Turkmenistan,City: Ashgabat
Country: Tuvalu,City: Funafuti
Country: Uganda,City: Kampala
Country: Ukraine,City: Kiev
Country: Uruguay,City: Montevideo
Country: Uzbekistan,City: Tashkent
Country: Venezuela,City: Caracas
Country: Vietnam,City: Hanoi
Country: Yemen,City: Sanaa
Country: Zambia,City: Lusaka
Country: Zimbabwe,City: Harare