bank,city
COMMERCIAL BANK -LANTA-BANK',MOSCOW
GENERAL ELECTRIC COMPANY,"STAMFORD,CT"
"THE 77 BANK,LTD.",SENDAI
MIZUHO CORPORATE BANK LTD. PARIS BRANCH,PARIS
LA BANQUE POSTALE,CHALONS EN CHAMPAGNE
BANQUE D'ESCOMPTE,PARIS
ALWATANY BANK OF EGYPT,EL MANSOURA
"NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC, PARIS BRANCH",PARIS
"GALLIARD CAPITAL MANAGEMENT, INC","MINNEAPOLIS,MN"
SUEZ CANAL BANK,6TH OF OCTOBER
LA BANQUE POSTALE,TOULOUSE
CITY INVEST BANK,ST. PETERSBURG
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",PARIS
"BANCO DE LA NACION ARGENTINA, MIAMI BRANCH","MIAMI,FL"
AMI-BANK ZAO,MOSCOW
FAISAL ISLAMIC BANK OF EGYPT,6TH OF OCTOBER
"SHINSEI BANK, LTD.",TOKYO
"HUA NAN COMMERCIAL BANK, LTD. HOCHIMINH CITY BRANCH",HO CHI MINH CITY
LA BANQUE POSTALE,DIJON
RASGAS COMPANY LIMITED,DOHA
BANK OF KHANTY-MANSIYSK OAO,MOSCOW
"AICHI BANK, LTD., THE",NAGOYA
DA AFGHANISTAN BANK,KABUL
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,DA NANG
COFIDIS,VILLENEUVE D'ASCQ
BAKER HUGHES INCORPORATED,"HOUSTON,TX"
EXPORT DEVELOPMENT BANK OF EGYPT,6TH OF OCTOBER
"SHINWA BANK, LTD. THE",SASEBO
BANQUE EXTERIEURE D'ALGERIE,BOUSAADA
FIRST NATIONAL BANK,"LINCOLN,NE"
FIRST NATIONAL BANK,"DENVER,CO"
ELECTRO BANQUE,PARIS
ARAB BANKING CORPORATION EGYPT,ALEXANDRIA
SOFIPROTEOL,PARIS
"STATE BANK OF INDIA, QATAR FINANCIAL CENTRE BRANCH",DOHA
CLF BANQUE,PARIS
SMBC NIKKO SECURITIES INC.,TOKYO
EL OROUBA BROKERAGE FIRM,CAIRO
MUBASHER TRADE,GIZA
BANCOMER TRANSFER SERVICES INC.,"HOUSTON,TX"
FAISAL ISLAMIC BANK OF EGYPT,DAMANHOUR
AL KHALIJ COMMERCIAL BANK,DOHA
"NATIONAL BANK OF GREECE, (EGYPT NETWORK)",GIZA
BANQUE DE REALISATIONS DE GESTION ET DE FINANCEMENT,CLICHY
BANQUE EXTERIEURE D'ALGERIE,SAIDA
EURONEXT PARIS S.A.,PARIS
BANK OF CHINA,HO CHI MINH CITY
EGYPTIAN ARAB LAND BANK,TANTA
EGYPTIAN ARAB LAND BANK,EL ZAGAZIG
HONEST BROKERAGE,CAIRO
BM SOFTWARE,NICE
BANQUE TARNEAUD,LIMOGES
BANK OF KHANTY-MANSIYSK OAO,ST. PETERSBURG
ENERGOBANK,KAZAN
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,CAN THO
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI
EULER HERMES SFAC CREDIT,PARIS
ENERGOTRANSBANK,KALININGRAD
CHUVASHCREDITPROMBANK OAO,CHEBOKSARY
BANK OF KHANTY-MANSIYSK OAO,BEREZOVO
BANQUE EXTERIEURE D'ALGERIE,ALGIERS
FDI FRANCE,LA MOTTE-SERVOLEX
BANQUE PSA FINANCE SA,PARIS
LA BANQUE POSTALE ASSET MANAGEMENT,PARIS
QINVEST LLC,DOHA
SVENSKA HANDELSBANKEN AB,RIGA
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",OSAKA
CITIBANK CAIRO,CAIRO
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,THE TENTH OF RAMADAN
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",SAPPORO
CHITAPROMSTROYBANK OAO,CHITA
BOISSIERE FINANCE,RUEIL MALMAISON
CHELINDBANK,MAGNITOGORSK
FIRST NATIONAL BANK,"OMAHA,NE"
CAISSE D'EPARGNE DES PAYS DE L'ADOUR,DAX
NATIONAL BANK FOR DEVELOPMENT,ALEXANDRIA
CATERPILLAR INC.,"PEORIA,IL"
FAISAL ISLAMIC BANK OF EGYPT,ASWAN
"DANSKE BANK A/S,LATVIJA BRANCH",RIGA
ROYAL BANK OF SCOTLAND PLC (FORMER ABN AMRO BANK N.V.),TOKYO
BANQUE EXTERIEURE D'ALGERIE,LAGHOUAT
"DAISAN BANK, LTD., THE",MATSUSAKA
BLOM BANK EGYPT S.A.E.,ISMAILIA
ALMAZERGIENBANK,YAKUTSK
SUMISHO COMPUTER SYSTEMS CORPORATION,TOKYO
ABBEY NATIONAL SECURITIES INC.,"STAMFORD,CT"
"RBS SECURITIES JAPAN LIMITED, TOKYO BRANCH",TOKYO
"BANK OF CHINA, PARIS BRANCH",PARIS
BANK OF CHINA,YOKOHAMA
"CREDIT SUISSE AG, PARIS BRANCH",PARIS
SWIFT CUSTOMER SERVICE CENTRE JAPAN,CUSTOMER SERVICE CENTRE JP
BNP-PARIBAS SA,PARIS
FIRST HAWAIIAN BANK,"HONOLULU,HI"
CREDIT-MOSCOW BANK,MOSCOW
DEXIA CREDIT LOCAL,PARIS
ACCENTURE INSURANCE SERVICES,MAISONS LAFFITTE
"CHANG HWA COMMERCIAL BANK, LTD., NEW YORK BRANCH","NEW YORK,NY"
CREDIT LYONNAIS,PARIS
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIEN HOA
VINCI CONSTRUCTION FRANCE,NANTERRE
DEXIA BANK CJSC,MOSCOW
ECONOMIC GROUP,GIZA
AVERY DENNISON CORPORATION,"PASADENA,CA"
HSBC SECURITIES EGYPT S.A.E.,CAIRO
THE ROYAL BANK OF SCOTLAND N.V. (FRANCE),PARIS
AL KHALIJI FRANCE S.A.,PARIS
"THE NOMURA TRUST AND BANKING CO., LTD.",TOKYO
LA BANQUE POSTALE,MONTPELLIER
AVERS BANK,KAZAN
NATIXIS,CERGY PONTOISE
SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED,PARIS
EURONEXT PARIS S.A.,LYON
ATLANTIC CENTRAL BANKERS BANK,"CAMP HILL,PA"
"BANCO BILBAO VIZCAYA ARGENTARIA, NEW YORK","NEW YORK,NY"
"ASSOCIATED FOREIGN EXCHANGE, INC","ENCINO,CA"
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BUON MA THUOT
EGYPTIAN ARAB LAND BANK,EL MENIA
FAR EASTERN COMMERCIAL BANK OAO,BLAGOVESHCHENSK
"SURUGA BANK, LTD., THE",TOKYO
BANK OF LATVIA,RIGA
BANK HAPOALIM B.M.,"MIAMI,FL"
BANQUE EXTERIEURE D'ALGERIE,M'SILA
EGYPTIAN GULF BANK,CAIRO
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL"
NATIONAL BANK OF ABU DHABI,CAIRO
SHINHAN BANK JAPAN,TOKYO
BANK OF CHINA,NAGOYA
BANK ROSSIYSKY KAPITAL,MOSCOW
CHEMICAL BANK,"MIDLAND,MI"
BANQUE EXTERIEURE D'ALGERIE,ARZEW
EGYPTIAN ARAB LAND BANK,ARISH
EAST-EUROPEAN TRUST BANK,MOSCOW
BANQUE EXTERIEURE D'ALGERIE,BOUIRA
EASTBRIDGE BANK,MOSCOW
"BANK OF COMMUNICATIONS, TOKYO BRANCH",TOKYO
BANQUE EXTERIEURE D'ALGERIE,BLIDA
CB RABOBANK (CLOSED JOINT-STOCK COMPANY),MOSCOW
"GOLDEN BANK, N.A.","HOUSTON,TX"
ABERCROMBIE AND FITCH CO.,"NEW ALBANY,OH"
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,ZAKAZIK
WESTLB AG PARIS,PARIS
ARAB AFRICAN INTERNATIONAL BANK,CAIRO
BANQUE POPULAIRE VAL DE FRANCE,MONTIGNY LE BRETONNEUX
HA BROKERAGE COMPANY,GIZA
BUSINESS DEVELOPMENT BANK,MOSCOW
THE LATVIA BRANCH OF BANK SNORAS,RIGA
BANESCO USA,"CORAL GABLES,FL"
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,YEN BAI
CAISSE D'EPARGNE D'ILE DE FRANCE OUEST,SAINT QUENTIN EN YVELINES
EGYPTIAN ARAB LAND BANK,DOMIAT
COMMERCIAL BANK OF INDIA OOO,MOSCOW
"UNITED BANK LIMITED, DOHA",DOHA
ADP GLOBAL PROXY SERVICES,"EDGEWOOD,NY"
SOCIETE GENERALE,PARIS
CHINA CONSTRUCTION BANK CORPORATION TOKYO BRANCH,TOKYO
COMMERCIAL BANK -LANTA-BANK',KUYBISHEV
QATAR TELECOM (QTEL) Q.S.C,DOHA
EGYPTIAN ARAB LAND BANK,EL MANSOURA
BANK OF KHANTY-MANSIYSK OAO,NOVOSIBIRSK
CIBC WORLD MARKETS CORP.,"NEW YORK,NY"
BANK OF INDIA,TOKYO
QATAR INVESTMENT AUTHORITY,DOHA
EKATERINBURG BANK,EKATERINBURG
UNION TUNISIENNE DE BANQUES,PARIS
COMMERCIAL BANK -LANTA-BANK',NOVOSIBIRSK
ARAB BANK PLC,CAIRO
FIRST NATIONAL BANK,"BOULDER,CO"
BCS BANK,NOVOSIBIRSK
CREDIT DU MAROC - SUCCURSALE DE PARIS,PARIS
LA BANQUE POSTALE,GRENOBLE
ABU DHABI INTERNATIONAL BANK INC.,"WASHINGTON,DC"
BANK OF ALGERIA,ALGIERS
BANQUE POPULAIRE RIVES DE PARIS,PARIS
SOCIETE MARSEILLAISE DE CREDIT,MARSEILLE
COMMONWEALTH BANK OF AUSTRALIA,TOKYO
BANQUE EXTERIEURE D'ALGERIE,EL-OUED
COMPAGNIE DE SAINT-GOBAIN,COURBEVOIE
HSBC BANK (VIETNAM) LTD.,HO CHI MINH CITY
SUEZ CANAL BANK,SHARM EL SHEIKH
FIRST BANK,"LAKEWOOD,CA"
"BANK OF NOVA SCOTIA,THE",CAIRO
COMMERCIAL BANK NOYABRSKNEFTEKOMBANK,NOYABRSK
LEHMAN BROTHERS INTERNATIONAL (EUROPE) PARIS BRANCH,PARIS
BANCO ESTADO DE CHILE NEW YORK BRANCH.,"NEW YORK,NY"
BANQUE FEDERALE DES BANQUES POPULAIRES (BANQUES POPULAIRES REGIONALES),PARIS
CREDIT AGRICOLE CHEUVREUX,COURBEVOIE
EXANE S.A.,PARIS
FIRST TENNESSEE BANK N.A.,"KNOXVILLE,TN"
AFGAN UNITED BANK,KABUL
BALTIK DEVELOPMENT BANK,VLADIVOSTOK
CAISSE CENTRALE DU CREDIT IMMOBILIER DE FRANCE,PARIS
BANQUE EXTERIEURE D'ALGERIE,BATNA
"SHIGA BANK, LTD., THE",OTSU
BANQUE BCP,PARIS
"THE BANK OF NEW YORK MELLON, TOKYO BRANCH",TOKYO
UNION NATIONAL BANK-EGYPT S.A.E.,CAIRO
LAMINES MARCHANDS EUROPEENS,TRITH SAINT LEGER
SHINHAN BANK JAPAN,FUKUOKA
"AGILENT TECHNOLOGIES, INC","SANTA CLARA,CA"
"TREASURY OF THE REPUBLIC OF LATVIA, THE",RIGA
"BANK OF TAIWAN, TOKYO BRANCH",TOKYO
BNP PARIBAS LE CAIRE,ALEXANDRIA
"LLOYDS TSB BANK PLC, PARIS",PARIS
BANCO SANTANDER INTERNATIONAL,"MIAMI,FL"
LA BANQUE POSTALE,LILLE
CAPITAL KREDIT LTD,MOSCOW
CITIBANK JAPAN LTD.,TOKYO
ALTA-BANK ZAO,MOSCOW
BANQUE EXTERIEURE D'ALGERIE,HASSI-MESSAOUD
LA BANQUE POSTALE,ROUEN
BNP PARIBAS FUND SERVICES SAS,PARIS
CENTRAL PACIFIC BANK,"HONOLULU,HI"
DRESDNER BANK ZAO,ST. PETERSBURG
EGYPTIAN ARAB LAND BANK,HURGHADA
CHICAGO MERCANTILE EXCHANGE,"CHICAGO,IL"
FIRST DATA CORPORATION,"GREENWOOD VILLAGE,CO"
"CATHAY UNITED BANK, LOS ANGELES AGENCY DBA CUBT","LOS ANGELES,CA"
EGYPTIAN ARAB LAND BANK,6TH OF OCTOBER
HSBC FRANCE,MARSEILLE
QATAR DEVELOPMENT BANK,DOHA
"SAITAMA RESONA BANK, LIMITED",TOKYO
SUEZ CANAL BANK,TANTA
AMEGY BANK N.A.,"HOUSTON,TX"
SGAM BANQUE (FORMERLY BAREP BANQUE),COURBEVOIE
BARCLAYS BANK - EGYPT S.A.E.,CAIRO
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,KHANH HOA
CHELYABINVESTBANK,MAGNITOGORSK
THALES SA,NEUILLY SUR SEINE
KOREA EXCHANGE BANK,PARIS
FAISAL ISLAMIC BANK OF EGYPT,TANTA
FAISAL ISLAMIC BANK OF EGYPT,EL ZAGAZIG
BANCA IMI SECURITIES CORP.,"NEW YORK,NY"
BLOM BANK EGYPT S.A.E.,ALEXANDRIA
DRESDNER BANK ZAO,MOSCOW
"CAPITAL ONE, N.A.","NEW YORK,NY"
EGYPTIAN GULF BANK,THE TENTH OF RAMADAN
FINANCIAL BROKERAGE GROUP (FBG),CAIRO
ALCATEL-LUCENT,PARIS
COMMONWEALTH BANK OF AUSTRALIA HO CHI MINH CITY,HO CHI MINH CITY
NATIONAL BANK OF ABU DHABI,PARIS
BANGKOK BANK PCL,HANOI
NATIXIS,BORDEAUX
BALTINVESTBANK OAO,ST. PETERSBURG
BNP PARIBAS ASSET MANAGEMENT,PARIS
ABSOLUT BANK,MOSCOW
ARAB BANK PLC,THE TENTH OF RAMADAN
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",KOBE
BANK OF KHANTY-MANSIYSK OAO,TYUMEN
ARABEYA ON LINE,CAIRO
LA BANQUE POSTALE,STRASBOURG
OSEO FINANCEMENT,MAISONS ALFORT
COSMO SECURITIES CO. LTD.,TOKYO
UBS (FRANCE) S.A.,PARIS
BANK LEUMI USA,"LOS ANGELES,CA"
BNP PARIBAS VOSTOK,MOSCOW
SOCIETE ARABE INTERNATIONALE DE BANQUE,ALEXANDRIA
AHLI UNITED BANK (EGYPT) S.A.E.,ALEXANDRIA
BORAK SECURITIES COMPANY,CAIRO
CAISSE D'EPARGNE NORD FRANCE EUROPE,LILLE
CREDIT MUTUEL - CIC BANQUES,PARIS
AN BINH COMMERCIAL JOINT STOCK BANK,HANOI
BANQUE EXTERIEURE D'ALGERIE,OUM EL BOUAGHI
CNCE GESTITRES,IVRY-SUR-SEINE
MASRAF AL RAYAN,DOHA
"BANK OF KYOTO,LTD.,THE",KYOTO
CRC MARIT MUTUEL DU LITTORAL SUD OUEST,LA ROCHELLE
EGYPTIAN SAUDI FINANCE BANK,6TH OF OCTOBER
AMERICAN PERSPECTIVE BANK,"SAN LUIS OBISPO,CA"
CREDIT SUISSE SECURITIES (JAPAN) LTD.,TOKYO
"NATIONAL BANK OF PAKISTAN, KABUL BRANCH",KABUL
ENERGOMASHBANK PLC,ST. PETERSBURG
DEXIA MUNICIPAL AGENCY PARIS,PARIS
"FIRST COMMERCIAL BANK, LTD. NEW YORK BRANCH","NEW YORK,NY"
BAKHTAR BANK,KABUL
BANK CAPITAL-MOSCOW,MOSCOW
CISCO SYSTEMS INC,"SAN JOSE,CA"
BANCA CARIGE SPA,NICE
BANQUE POPULAIRE COTE D'AZUR,NICE
SUEZ SA,PARIS
"MCSD MISR FOR CLEARING,DEPOSITORY AND REGISTRY",CAIRO
ALTICOR INC,"ADA,MI"
EGYPTIAN ARAB LAND BANK,ASWAN
NATIONAL BANK OF OMAN (SAOG),CAIRO
GURANTEE FOR BROKERAGE,CAIRO
BANQUE POPULAIRE LOIRE ET LYONNAIS,LYON
BNP PARIBAS EQUITIES FRANCE,PARIS
D.I.M.O. GESTION,LIMONEST
LYXOR INTERNATIONAL ASSET MANAGEMENT,PARIS
"CAPITAL ONE,N.A.","NEW ORLEANS,LA"
CENTRAL BANK OF EGYPT CAIRO,PORT SAID
"GLOBEFLEX CAPITAL, L.P.","SAN DIEGO,CA"
ABACUS FEDERAL SAVINGS BANK,"NEW YORK,NY"
AS DNB NORD BANKA,RIGA
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HUE CITY
ATTIJARIWAFA BANK,PARIS
ECONOMIC UNION BANK,MOSCOW
SUEZ CANAL BANK,EL MENIA
"AOMORI BANK LTD., THE",AOMORI
BSI-IFABANQUE SA,PARIS
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),"JERSEY CITY,NJ"
DELTA RASMALA SECURITIES,GIZA
BNP PARIBAS ARBITRAGE,PARIS
NATIXIS,RENNES
BANCO DAVIVIENDA S.A.,"MIAMI,FL"
COMMERCIAL BANK MAST BANK (JOINT STOCK COMPANY),MOSCOW
CALYON,HANOI
ABB BANK,MOSCOW
EUROPEENE DE GESTION PRIVEE,TOULOUSE
FIRST AMERICAN BANK,"ELK GROVE VILLAGE,IL"
KABUL BANK,KABUL
JSC CITADELE BANKA,RIGA
BANK OF KHANTY-MANSIYSK OAO,NYAGAN
CAIXA D'ESTALVIS DE CATALUNYA,PERPIGNAN
EGYPTIAN INVESTOR PROTECTION FUND,CAIRO
ARAB BANK PLC ALGERIA,ALGIERS
BNP PARIBAS FINAMS,PARIS
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,THANH MOA
EVRAZBANK OOO,NEMCHINOVKA
HSBC FRANCE,NANCY
SEB BANKA,RIGA
AGROIMPULS JOINT STOCK COMMERCIAL BANK,VORONEZH
DELTACREDIT CB ZAO,MOSCOW
CITIBANK N.A.,DOHA
DEUTSCHE SECURITIES INC.,TOKYO
"SBI SUMISHIN NET BANK, LTD.",TOKYO
AVTOGRADBANK,NABEREZHNYE CHELNY
BANK SEPAH,PARIS
FREDDIE MAC,"MCLEAN,VA"
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VINH PHUC
HSBC FRANCE,TOURCOING
AL ROWAD FOR SECURITIES BROKERAGE,GIZA
BANCO ESPIRITO SANTO,"NEW YORK,NY"
BANKHAUS ERBE,MOSCOW
BANQUE EXTERIEURE D'ALGERIE,CHLEF
THE UNITED BANK,CAIRO
AMAN SECURITIES COMPANY,CAIRO
BANCOLOMBIA S.A. MIAMI AGENCY,"MIAMI,FL"
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BINH THUAN
ALJBA ALLIANCE,MOSCOW
LAFARGE SA,PARIS
SVENSKA HANDELSBANKEN AB,PARIS
AIZKRAUKLES BANKA,RIGA
SAUDI EGYPTION CO. FOR SECURITIES BROKERAGE,CAIRO
BFG-CREDIT BANK,MOSCOW
"AMERICAN EXPRESS TRAVEL RELATED SERVICES CO.,INC. (TRAVELERS CHEQUE OPER.CTR.)","SALT LAKE CITY,UT"
CAISSE D'EPARGNE ILE DE FRANCE NORD,CERGY PONTOISE
SUEZ CANAL BANK,DOMIAT
CENTROKREDIT BANK,MOSCOW
AL SHOROUK BROKERAGE CO.,CAIRO
CALYON,HO CHI MINH CITY
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LIMITED",DOHA
CAISSE D'EPARGNE COTE D'AZUR,NICE
BANK OF ALEXANDRIA S A E,PORT SAID
FAISAL ISLAMIC BANK OF EGYPT,DOMIAT
BANQUE DE GESTION PRIVEE-SIB,PARIS
"BANK OF FUKUOKA, LTD., THE",FUKUOKA
EGYPTIAN KUWAITI SECURITIES COMPANY,CAIRO
ALWATANY BANK OF EGYPT,SOHAG
BANQUE NEUFLIZE OBC,PARIS
HSBC FRANCE,MULHOUSE
MIRAGE BROKERAGE,GIZA
PROCAPITAL SA,PARIS
CAISSE D'EPARGNE DE LORRAINE CHAMPAGNE-ARDENNE,METZ
MASHREQ BANK,CAIRO
PIRAEUS BANK - EGYPT S.A.E.,CAIRO
ARCELOR TREASURY SNC,SAINT DENIS
CAISSE D'EPARGNE LOIRE CENTRE,ORLEANS
SUEZ CANAL BANK,PORT SAID
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,GIA LAI
ABE CLEARING SAS/EBA CLEARING (SYSTEM OPERATOR),PARIS
THE ROOTS STOCK-BROKERAGE HOUSE,CAIRO
MORTGAGE AND LAND BANK OF LATVIA,RIGA
CAISSE D'EPARGNE ILE DE FRANCE,PARIS
CHELINDBANK,SATKA
EURO-VL,LEVALLOIS PERRET
FIRST NATIONS BANK,"CHICAGO,IL"
AVTOVAZBANK OPEN JOINT-STOCK COMPANY,TOGLIATTI
"SKANDINAVISKA ENSKILDA BANKEN, PARIS BRANCH",PARIS
BPCE,PARIS
CHOLET DUPONT SA,PARIS
"SHOKO CHUKIN BANK, LTD., THE",TOKYO
ARAB BANKING CORPORATION,"NEW YORK,NY"
ARVEST BANK,"TULSA,OK"
BANQUE DE BRETAGNE,RENNES
BANQUE EXTERIEURE D'ALGERIE,BOUMERDES
BANQUE EXTERIEURE D'ALGERIE,BECHAR
IKB DEUTSCHE INDUSTRIEBANK A.G. SUCCURSALE DE PARIS,PARIS
CAISSE NATIONALE DES CAISSES D'EPARGNE ET DE PREVOYANCE,PARIS
"AMAGASAKI SHINKIN BANK, THE",AMAGASAKI
BANQUE D'ORSAY,PARIS
OPTIMA SECURITIES BROKERAGE,CAIRO
BANQUE EXTERIEURE D'ALGERIE,DJELFA
BANK24.RU OAO,EKATERINBURG
MISR IRAN DEVELOPMENT BANK,6TH OF OCTOBER
COMMERZBANK (EURASIJA) SAO,MOSCOW
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,CAIRO
OSEO GARANTIE,MAISONS ALFORT
NATIONAL BANK OF ABU DHABI,ASSUIT
ALEF-BANK,MOSCOW
BGFI INTERNATIONAL,PARIS
NATIONAL BANK FOR DEVELOPMENT,CAIRO
ARAB INVESTMENT BANK,ALEXANDRIA
BANCO DE LA NACION ARGENTINA,"NEW YORK,NY"
CAISSE D'EPARGNE RHONE ALPES,LYON
"COMMERZBANK AG, PARIS BRANCH (FORMERLY DRESDNER BANK AG, PARIS BRANCH)",PARIS
FAURECIA,NANTERRE
NATIONAL POST ORGANIZATION,CAIRO
AS -PRIVATBANK',RIGA
PHARAONIC BROKERAGE CO.,CAIRO
SUEZ CANAL BANK,BOURG EL ARAB
"GOLDMAN SACHS BANK USA (FORMERLY GOLDMAN SACHS CAPITAL MARKETS, L.P.)","NEW YORK,NY"
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,CAIRO
QATAR FIRST INVESTMENT BANK,DOHA
TASWEEQ,DOHA
BANCO DO BRASIL S.A.,PARIS
BANQUE DE L'AGRICULTURE ET DE DEVELOPPEMENT RURAL,ALGIERS
BANQUE INTERNATIONALE DE COMMERCE-BRED,PARIS
BANQUE MICHEL INCHAUSPE - BAMI,SAINT JEAN PIED DE PORT
"BNP PARIBAS ZAO, MOSCOW",MOSCOW
FAISAL ISLAMIC BANK OF EGYPT,EL MANSOURA
GFX CORPORATION,"CHICAGO,IL"
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,"NEW YORK,NY"
ALWATANY BANK OF EGYPT,6TH OF OCTOBER
HOUSING DEVELOPMENT COMMERCIAL J.S. BANK - HCMC,HANOI
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,DONG NAI
BANK OF CHINA (ELUOSI),MOSCOW
BARCLAYS BANK PLC,TOKYO
NATIXIS,MARSEILLE
SUEZ CANAL BANK,EL MANSOURA
ELECTRICITE DE FRANCE,PARIS
BANK OF KHANTY-MANSIYSK OAO,RADUZHNY
"CHANG HWA COMMERCIAL BANK LTD., TOKYO BRANCH",TOKYO
BANK OF KHANTY-MANSIYSK OAO,YUGORSK
CITY EXCHANGE CO. W.L.L,DOHA
CORPORATE FINANCE BANK,MOSCOW
BANCO DO BRASIL S.A,"NEW YORK,NY"
BANK HAPOALIM B.M.,"WASHINGTON,DC"
BARCLAYS BANK LLC,MOSCOW
FIRST GENERAL BANK,"ROWLAND HEIGHTS,CA"
"BANK OF TOKYO-MITSUBISHI UFJ, LTD.,THE",TOKYO
BANQUE EXTERIEURE D'ALGERIE,GHAZAOUET
BANQUE EXTERIEURE D'ALGERIE,SIG
ARAB INTERNATIONAL BANK,PORT SAID
BANCA INTESA ZAO MOSCOW,MOSCOW
"BANK OF FUKUOKA, LTD., THE",TOKYO
BANK AUDI SARADAR FRANCE,PARIS
GBC INTERNATIONAL BANK,"MONTEREY PARK,CA"
EGYPTIAN ARAB LAND BANK,SHOROUK
"BANK OF NAGOYA, LTD. , THE",NAGOYA
FISCHER FRANCIS TREES AND WATTS INC.,"NEW YORK,NY"
SAFRAN,PARIS
NATIONAL BANK OF ABU DHABI,LUXOR
BANQUE POPULAIRE DU SUD-OUEST,BORDEAUX
BLOM BANK FRANCE,PARIS
CITIBANK CAIRO,ALEXANDRIA
KEPLER CAPITAL MARKETS,PARIS
"THE SENSHU IKEDA BANK, LTD.",OSAKA
AK BARS BANK OAO,KAZAN
HOUSING DEVELOPMENT COMMERCIAL J.S. BANK - HCMC,HO CHI MINH CITY
FORTIS BANQUE FRANCE,PUTEAUX
HSBC FRANCE,BORDEAUX
AF BANK,UFA
ETS J SOUFFLET,NOGENT SUR SEINE
HSBC BANK MIDDLE EAST LIMITED,DOHA
"ACI CAPITAL GROUP, LLC","NEW YORK,NY"
ECONOMBANK ZAO,SARATOV
Bank or Institution,City
ALNOURAN BROKERAGE AND SECURITIES,CAIRO
CP OR DEVISES,PARIS
FIRST NATIONAL BANK,"FORT COLLINS,CO"
TYCOON FOR SECURITIES,CAIRO
AL SALAM BANK ALGERIA,ALGIERS
BRAC AFGHANISTAN BANK,KABUL
PASHTANY BANK,KABUL
BANQUE EXTERIEURE D'ALGERIE,MASCARA
