Country,Head Of State
Afghanistan , Mohammad Ashraf Ghani
Afghanistan , Hamid Karzai  
Afghanistan , Daoud Khan 
Albania , Bujar Nishani
Albania, Sali Berisha
Albania, Rexhep Meidani
Albania, Alfred Moisiu
Albania, Bamir Topi
Algeria , Abdelaziz Bouteflika
Algeria , Ahmed Ben Bella 
Algeria,Houari Boumediene
Algeria, Chadli Bendjedid
Algeria, Mohamed Boudiaf
Algeria, Ali Kafi
Angola , Jose Eduardo Dos Santos
Angola, António Agostinho Neto,
Antigua and Barbuda ,Sir Rodney Williams
Argentina , Cristina Fernandez De Kirchner
Argentina, Adolfo Rodríguez Saá
Argentina, Fernando de la Rúa
Argentina, Carlos Menem
Argentina, Raúl Alfonsín
Argentina, Reynaldo Bignone
Armenia , Serzh Sargsian
Armenia, Robert Kocharyan
Armenia, Levon Ter-Petrosyan
Austria , Heinz Fischer
Azerbaijan , Ilham Aliyev
"Bahamas, The ",Marguerite Pindling
Bahrain ,Hamad bin Isa Al Khalifa
Bangladesh , Abdul Hamid
Barbados ,Elliot Belgrave
Belarus , Aleksandr Lukashenko
Belgium ,Philippe
Belize ,Sir Colville Young
Benin , President 
Bhutan ,Jigme Khesar Namgyel Wangchuck
Bolivia , Juan Evo Morales Ayma
Botswana , Seretse Khama Ian Khama
Brazil , Dilma Rousseff
Brunei ,Sir Hassanal Bolkiah
Bulgaria , Rosen Plevneliev
Burkina Faso , Michel Kafando (Acting)
Burundi , Pierre Nkurunziza
Cabo Verde , Jorge Carlos De Almeida Fonseca
Cambodia ,Norodom Sihamoni
Cameroon , Paul Biya
Canada ,David Johnston
Central African Republic , Catherine Samba
Chad , Idriss Deby Itno
Chile , Michelle Bachelet
China , Xi Jinping
Colombia , Juan Manuel Santos
Comoros , Ikililou Dhoinine
"_Congo, Democratic Republic of The ", Joseph Kabila
"Congo, Republic of The ", Denis Sassou Nguesso
Cook Islands ,
Costa Rica , Luis Guillermo Sol’s
Cote D'ivoire , Alassane Dramane Ouattara
Croatia , Kolinda Grabar Kitarovic
Cuba , General Raul Modesto Castro Ruz
Cyprus , Nikos Anastasiadis
Czech Republic , Milos Zeman
Denmark ,Margrethe II
_Djibouti , Ismail Omar Guelleh
Dominica , Charles Savarin
Dominican Republic , Danilo Medina Sanchez
Ecuador , Rafael Correa Delgado
Egypt , Abdel Fattah el Sissi
El Salvador , Salvador S‡nchez CerŽn
Equatorial Guinea , Brig. General Teodoro Obiang Nguema Mbasogo
Eritrea , Isaias Afworki
Estonia , Toomas Hendrik Ilves
_Ethiopia , Mulatu Teshome
Fiji , Epeli Nailatikau
Finland , Sauli Niinisto
France , Francois Hollande
_Gabon , Ali Ben Bongo Ondimba
"Gambia, The ", Yahya Jammeh
Georgia , Giorgi Margvelashvili
Germany , Joachim Gauck
Ghana , John Dramani Mahama
Greece , Prokopis Pavlopoulos
Grenada ,Cecile La Grenade
Guatemala , Otto Fernando Perez Molina
Guinea , Alpha Conde
Guinea Bissau , JosŽ M‡rio Vaz
Guyana , David A. Granger
Haiti , Michel Martelly
Honduras , Juan Orlando Hernandez Alvarado
Hungary , Janos Ader
Iceland , Olafur Ragnar Grimsson
India , Pranab Mukherjee
Indonesia ,ÊJoko Widodo
Iran , Hasan Fereidun Ruhani
Iraq , Fuad Masum
Ireland , Michael Daniel Higgins
Israel , Reuven Rivlin
Italy , Sergio Mattarella
Jamaica ,Sir Patrick Allen
Japan ,Akihito
Jordan ,Abdallah II
Kazakhstan , Nursultan Nazarbayev
Kenya , Uhuru Kenyatta
Kiribati , Anote Tong
"North, South NDE ", Kim Jong UN
"Korea, South ", Park Geun Hye
Kosovo , Atifete Jahjaga
Kuwait ,Sabah al Ahmad al Jabir al Sabah
Kyrgyzstan , Almazbek Atambaev
Laos , Lt. General Choummali Saignason
Latvia , Andris Berzins
Lebanon ,ÊTammam Salam (Acting)
Lesotho ,Letsie III
Liberia , Ellen Johnson Sirleaf
Libya , Aguila Saleh Issa
Liechtenstein ,Prince Hans Adam II
Lithuania , Dalia Grybauskaite
Luxembourg ,Henri
Macedonia , Gjorge Ivanov
Madagascar , Hery Martial Rajaonarimampianina Rakotoari
Malawi , Peter Mutharika
Malaysia ,Abdul Halim Mu'adzam Shah
Maldives , Abdulla Yameen Abdul Gayoom
Mali , Ibrahim Boubacar Keita
Malta , Marie Louise Coleiro Preca
Marshall Islands , Christopher Jorebon Loeak
Mauritania , Mohamed Ould Abdel Aziz
Mauritius , Ameenah Gurib
Mexico , Enrique Pena Nieto
"Micronesia, Federated States of ", Peter M. ChristianÊ
Moldova , Nicolae Timofti
_Mongolia , Tsakhia Elbegdorj
Montenegro , Filip Vujanovic
Morocco ,Mohammed VI
Mozambique , Filipe Nyusi
Myanmar , Thein Sein
Namibia , Hage Geingob
Nauru , Baron Divavesi Waqa
Nepal , Dr. Ram Baran Yadav
Netherlands ,Willem Alexander
New Zealand ,Jeremiah Mateparae
Nicaragua , Daniel Ortega SaavedraÊ
Niger , Issoufou Mahamadou
Nigeria , Muhammadu Buhari
Norway ,Harald V
Oman ,Qaboos bin Said Al Said
Pakistan , Mamnoon Hussain
Palau , Tommy Remengesau
Panama , Juan Carlos Varela
Papua New Guinea ,Michael Ogio
Paraguay , Horacio Cartes Jara
Peru , Ollanta Moises Humala Tasso
Philippines , Benigno Aquino III
Poland , Bronislaw Komorowski
Portugal , Anibal Antonio Cavaco Silva
Qatar ,Tamim bin Hamad Al Thani
Romania , Klaus Iohannis
Russia , Vladimir Vladimirovich Putin
Rwanda , Paul Kagame
Saint Kitts and Nevis ,Samuel Weymouth Tapley Seaton (Acting)
Saint Lucia , Dame Pearlette Louisy
Saint Vincent and the Grenadines ,Sir Frederick Nathaniel Ballantyne
Samoa , Tuilaepa Aiono Sailele Malielegaoi
Sao Tome and Principe , Manuel Pinto Da Costa
Saudi Arabia ,Salman bin Abdulaziz Al Saud
Senegal , Macky Sall
Serbia , Tomislav Nikolic
Seychelles , James Alix Michel
Sierra Leone , Ernest Bai Koroma
Singapore , Lee Hsien Loong
Slovakia , Andrej Kiska
Slovenia , Borut Pahor
Solomon Islands ,Frank Ofagioro Kabui
Somalia , Hassan Sheikh Mahamud
South Africa , Jacob Zuma
South Sudan , Salva Kiir Mayardit
Spain ,ÊFelipe VI
Sri Lanka , Maithripala Sirisena
Sudan , Umar Hassan Ahmad Al Bashir
Suriname , Desire Delano Bouterse
Swaziland ,Mswati III
Sweden ,Carl XVI Gustaf
Syria , Bashar Al Asad
Taiwan , Ma Ying Jeou
Tajikistan , Emomali Rahmon
Tanzania , Jakaya Mrisho Kikwete
Thailand ,Phumiphon Adunyadet
Timor East, Taur Matan Ruak
Togo, Faure Gnassingbe
Tonga ,Tupou VI
Trinidad and Tobago , Anthony Thomas Aquinas Carmona
Tunisia , Beji Caid Essebsi
Turkey , Recep Tayyip Erdo_an
Turkmenistan , Gurbanguly Berdimuhamedow
Tuvalu ,Iakoba Italeli
Uganda ,Yoweri Kaguta Museveni
Ukraine , Petro Poroshenko
United Arab Emirates , Khalifa Bin Zayid Al Nuhayyan
UnitedÊStates of America ,ÊBarack Obama
United Kingdom ,Elizabeth II
Uruguay , TabarŽ V‡zquez
Uzbekistan , Islom Karimov
Vanuatu , Baldwin Lonsdale
Venezuela , Nicolas Maduro Moros
Vietnam , Truong Tan Sang
Yemen , Fd. Mar. Abd Rabuh Mansur Hadi
Zambia , Edgar Lungu
Zimbabwe , Robert Gabriel Mugabe
