"Number","River","Length in Miles","Where Found"
"1","Nile","4,135 miles","North/East Africa"
"2","Amazon","3,980 miles","South America"
"3","Chang Jiang (Yangtze)","3,917 miles","China"
"4","Mississippi-Missouri","3,870 miles","USA"
"5","Yenisey","3,434 miles","Russia"
"6","Huang He","3,395 miles","China"
"7","Ob-Irtysh","3,354 miles","Russia"
"8","Congo","2,914 miles","Central Africa"
"9","Amur","2,744 miles","Northeast Asia"
"10","Lena","2,734 miles","Russia"
"11","Mackenzie","2,635 miles","Canada"
"12","Mekong","2,600 miles","Southeast Asia"
"13","Niger","2,590 miles","Africa"
"14","Parana","2,485 miles","South America"
"15","Volga","2,266 miles","Russia"
"16","Shatt al Arab Euphrates","2,236 miles","Asia"
"17","Purus","2,100 miles","Brazil"
"18","Murray Darling","2,094 miles","Australia"
"19","Madeira","2,013 miles","Brazil"
"20","Yukon","1,980 miles","Alaska/Canada"
"21","Indus","1,976 miles","Pakistan"
"22","Sao Francisco","1,988 miles","Brazil"
"23","Syr Darya Naryn","1,913 miles","Russia"
"24","Salween","1,901 miles","China"
"25","Rio Grande","1,900 miles","North America"
"26","Tocantins-Araguaia","3,650 miles","Brazil"
"27","Madeira–Mamoré–Grande–Caine–Rocha","3,380 miles","Brazil"
"28","Araguaia","2,627 miles","Brazil"
"29","Japurá (Rio Yapurá)", "2,615 miles","Brazil"
"30","Negro","2,250 miles","Brazil"
"31","Xingu",2,100 miles","Brazil"
"32","Tapajós","1,900 miles","Brazil"
"33","Guaporé (Itenez)","1,749 miles","Brazil"